ConsignDetailID,ConsignID,InvoiceNo,description,articleNo,article,weight,chargeWeight,rateType,rate,freight,InvoiceValue,GRNDate,GRNNo
392657,290571,NULL,Woodan Pallet,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392658,290572,NULL,CSG TOP/ BOT,6,7,NULL,3192,Fixed,NULL,NULL,NULL,NULL,NULL
392659,290573,NULL,DISC CAST GK 50 NB,130,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392660,290573,NULL,DISC CAST GK 65 NB,64,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392661,290573,NULL,DISC CAST GK 100 NB,120,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392662,290573,NULL,DISC CAST GK 150 NB,30,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392663,290573,NULL,DISC CAST GK 200 NB,12,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392664,290573,NULL,Woodan Pallet,1,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392665,290574,NULL,WELDING ROD,1,182,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392666,290487,NULL,Patterns,1,246,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392667,290547,NULL,CASTING,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392668,290575,NULL,Castings,625,7,NULL,3134,Fixed,NULL,NULL,NULL,NULL,NULL
392669,290548,NULL,SHAFT WITH SLEEVE,13,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392670,290576,NULL,CASTING,216,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392671,290576,NULL,CASTING,1,1,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392672,290549,NULL,SHAFT WITH SLEEVE,10,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392673,290550,NULL,Shaft,6,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392674,290577,NULL,Lubricare Body Lop,33,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392675,290578,NULL,Castings,1,7,NULL,282,Fixed,NULL,NULL,NULL,NULL,NULL
392676,290579,NULL,COVER CASTING,67,1,NULL,1740,Fixed,NULL,NULL,NULL,NULL,NULL
392677,290580,NULL,Sr 25pdc,1,3,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392678,290580,NULL,Ivd 400 Cap (nos 228),9,96,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392679,290580,NULL,Wooden Pallet,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392680,290580,NULL,Wooden Frams,2,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
392681,290581,NULL,Alu Housing H-400,74,7,NULL,NULL,Fixed,NULL,NULL,NULL,NULL,NULL
