RouteBillID,billNo,date,branch,customer,totalFreight,ExtraFC,ExtraOverload,ExtraStation,TollTax,Commission,localFreight,Detention,Closed,remark,DueDate,EmployeeID,LastEdited,Type,BillType,RTO,FreightPart,Discount,ServiceTax,total,grandTotal,cgst,cgstPercent,sgst,sgstPercent
17036,353,2023-10-05 14:06:42.000,1,48983,15340,0,0,0,0,0,0,0,0,,2023-10-20 14:06:42.000,2,NULL,1,1,0,0,0,0,15340,0,0,0,0,0
17037,354,2023-10-05 14:07:29.000,1,17852,650,0,0,0,0,0,0,0,0,,2023-10-20 14:07:29.000,2,NULL,1,1,0,0,0,0,650,0,0,0,0,0
17038,355,2023-10-05 14:08:18.000,1,49033,1700,0,0,0,0,0,0,0,0,,2023-10-20 14:08:18.000,5,NULL,1,1,0,0,0,0,1700,0,0,0,0,0
17039,356,2023-10-05 14:09:20.000,1,2603,42630,0,0,0,0,0,0,0,0,,2023-10-20 14:09:20.000,5,NULL,1,1,0,0,0,0,42630,0,0,0,0,0
17040,357,2023-10-05 14:10:55.000,1,1387,58490,0,0,0,0,0,0,0,0,,2023-10-20 14:10:55.000,5,NULL,1,1,0,0,0,0,58490,0,0,0,0,0
17041,358,2023-10-05 14:13:35.000,1,1388,37070,0,0,0,0,0,0,0,0,,2023-10-20 14:13:35.000,5,NULL,1,1,0,0,0,0,37070,0,0,0,0,0
17042,359,2023-10-05 14:14:20.000,1,105,7220,0,0,0,0,0,0,0,0,,2023-10-20 14:14:20.000,5,NULL,1,1,0,0,0,0,7220,0,0,0,0,0
17043,360,2023-10-05 20:55:00.000,1,6750,31797,0,0,0,0,0,0,0,0,,2023-10-20 20:55:00.000,5,NULL,1,1,0,0,0,0,31797,0,0,0,0,0
17044,361,2023-10-05 14:19:04.000,1,7779,9530,0,0,0,0,0,0,0,0,,2023-10-20 14:19:04.000,5,NULL,1,1,0,0,0,0,9530,0,0,0,0,0
17045,362,2023-10-05 14:23:52.000,1,1230,18340,0,0,0,0,0,0,0,0,,2023-10-20 14:23:52.000,5,NULL,1,1,0,0,0,0,18340,0,0,0,0,0
17046,363,2023-10-05 20:38:49.000,1,36600,11265,0,0,0,0,0,0,0,0,,2023-10-20 20:38:49.000,5,NULL,1,1,0,0,0,0,11265,0,0,0,0,0
17047,364,2023-10-05 11:43:08.000,1,36626,15990,0,0,0,0,0,0,0,0,,2023-10-20 11:43:08.000,2,NULL,1,1,0,0,0,0,15990,0,0,0,0,0
17048,365,2023-10-05 14:33:37.000,1,5623,5730,0,0,0,0,0,0,0,0,,2023-10-20 14:33:37.000,5,NULL,1,1,0,0,0,0,5730,0,0,0,0,0
17049,366,2023-10-05 14:36:58.000,1,37363,7630,0,0,0,0,0,0,0,0,,2023-10-20 14:36:58.000,5,NULL,1,1,0,0,0,0,7630,0,0,0,0,0
17050,367,2023-10-05 14:38:05.000,1,16392,4960,0,0,0,0,0,0,0,0,,2023-10-20 14:38:05.000,5,NULL,1,1,0,0,0,0,4960,0,0,0,0,0
17051,368,2023-10-05 14:38:53.000,1,11445,3510,0,0,0,0,0,0,0,0,,2023-10-20 14:38:53.000,5,NULL,1,1,0,0,0,0,3510,0,0,0,0,0
17052,369,2023-10-05 14:39:42.000,1,14932,49377,0,0,0,0,0,0,0,0,,2023-10-20 14:39:42.000,5,NULL,1,1,0,0,0,0,49377,0,0,0,0,0
17053,370,2023-10-05 14:40:49.000,1,2809,8366,0,0,0,0,0,0,0,0,,2023-10-20 14:40:49.000,5,NULL,1,1,0,0,0,0,8366,0,0,0,0,0
17054,371,2023-10-05 16:22:31.000,1,13190,14190,0,0,0,0,0,0,0,0,,2023-10-20 16:22:31.000,5,NULL,1,1,0,0,0,0,14190,0,0,0,0,0
17055,372,2023-10-05 16:15:15.000,1,7830,19450,0,0,0,0,0,0,0,0,,2023-10-20 16:15:16.000,5,NULL,1,1,0,0,0,0,19450,0,0,0,0,0
17056,373,2023-10-05 16:37:58.000,1,8159,1280,0,0,0,0,0,0,0,0,,2023-10-20 16:37:58.000,5,NULL,1,1,0,0,0,0,1280,0,0,0,0,0
